187.10.72.252 - - "2022-06-01 01:31:47" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36"
177.62.203.191 - - "2022-06-01 11:17:33" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:100.0) Gecko/20100101 Firefox/100.0"
177.62.203.191 - - "2022-06-01 11:17:39" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:100.0) Gecko/20100101 Firefox/100.0"
177.62.203.191 - - "2022-06-01 11:17:42" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:100.0) Gecko/20100101 Firefox/100.0"
177.62.203.191 - - "2022-06-01 11:19:59" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:100.0) Gecko/20100101 Firefox/100.0"
177.62.203.191 - - "2022-06-01 11:20:05" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:100.0) Gecko/20100101 Firefox/100.0"
172.17.171.167 administrative 22 "2022-06-01 12:00:49" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
172.17.171.167 administrative 22 "2022-06-01 12:01:10" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
172.17.171.167 - 22 "2022-06-01 12:01:12" http://submissoesic.propes.ufabc.edu.br//index.php/052022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
172.17.171.167 - 22 "2022-06-01 12:01:23" http://submissoesic.propes.ufabc.edu.br//index.php/052022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
172.17.171.167 - 22 "2022-06-01 12:01:28" http://submissoesic.propes.ufabc.edu.br//index.php/052022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
172.17.171.167 - 22 "2022-06-01 12:01:30" http://submissoesic.propes.ufabc.edu.br//index.php/052022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
187.3.113.251 - - "2022-06-01 12:37:30" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36"
187.3.113.251 - - "2022-06-01 12:37:48" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36"
191.19.48.155 - - "2022-06-01 13:32:40" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"
191.19.48.155 - - "2022-06-01 13:32:46" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"
189.78.166.162 - - "2022-06-01 14:12:51" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36"
172.17.171.167 administrative 22 "2022-06-01 14:23:42" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
172.17.171.167 administrative 22 "2022-06-01 14:23:54" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
172.31.6.211 - - "2022-06-01 14:32:41" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"
172.31.6.211 - - "2022-06-01 14:32:55" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"
172.31.6.211 - - "2022-06-01 15:03:06" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"
177.102.189.199 - - "2022-06-01 15:14:08" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Linux; Android 10; SM-G9600 Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4951.61 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/368.0.0.24.108;]"
177.102.189.199 - - "2022-06-01 15:14:44" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Linux; Android 10; SM-G9600 Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/101.0.4951.61 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/368.0.0.24.108;]"
201.68.157.114 - - "2022-06-01 16:29:04" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36"
