172.17.171.225 - - "2022-06-06 11:25:11" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
172.17.40.131 - - "2022-06-06 12:22:14" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36"
177.104.36.34 - - "2022-06-06 14:11:50" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
177.104.36.34 - - "2022-06-06 14:12:09" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
177.104.36.34 - 35 "2022-06-06 14:14:54" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
177.104.36.34 - 35 "2022-06-06 14:15:21" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
177.104.36.34 - 35 "2022-06-06 14:35:00" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
177.104.36.34 administrative 35 "2022-06-06 14:36:43" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0"
189.55.240.245 - - "2022-06-06 19:50:29" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
189.55.240.245 - - "2022-06-06 19:51:00" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
177.9.130.113 administrative 37 "2022-06-06 22:59:13" http://submissoesic.propes.ufabc.edu.br//index.php/042022PROJ/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
